# time(s) T(K) rho(g/cm^3) p_central(dyne/cm^2) epsilon_nuc epsilon_nu epsilon_gravity cv  t_heat t_dyn X_c12 X_o16 X_p X_he4 X_ne20 X_na23 X_mg24
0.000000e+00 6.999952e+05 1.558000e+08 3.943311e+25 0.000000e+00 0.000000e+00 6.018069e+08 2.561675e+07 0.000000e+00 3.101083e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.981591e+05 9.440828e+07 1.56473916e+08 3.967461e+25 -1.308865e-26 7.571405e-01 1.172613e+09  1.062992e+078.458441e+05 3.094398e-01 5.000000e-01 5.000000e-01 5.086657e-45 2.635197e-44 1.317598e-43 1.169931e-43 1.378820e-60
1.008141e+06 9.551101e+07 1.56481502e+08 3.967731e+25 -2.672008e-26 8.815664e-01 1.176356e+09  1.064802e+078.545553e+05 3.094323e-01 5.000000e-01 5.000000e-01 1.048606e-44 5.431247e-44 2.715623e-43 2.411793e-43 3.452240e-60
1.018122e+06 9.661537e+07 1.56489089e+08 3.968000e+25 -5.400394e-26 1.026618e+00 1.180098e+09  1.066614e+078.632617e+05 3.094248e-01 5.000000e-01 5.000000e-01 2.140011e-44 1.108181e-43 5.540905e-43 4.922025e-43 8.533541e-60
1.028104e+06 9.772135e+07 1.56496675e+08 3.968269e+25 -1.080845e-25 1.195399e+00 1.183841e+09  1.068430e+078.719649e+05 3.094173e-01 5.000000e-01 5.000000e-01 4.324635e-44 2.238991e-43 1.119495e-42 9.946660e-43 2.083177e-59
1.038085e+06 9.882894e+07 1.56504262e+08 3.968539e+25 -2.142663e-25 1.391401e+00 1.187583e+09  1.070247e+078.806626e+05 3.094098e-01 5.000000e-01 5.000000e-01 8.655941e-44 4.480495e-43 2.240247e-42 1.990866e-42 5.023662e-59
1.048067e+06 9.993813e+07 1.56511848e+08 3.968808e+25 -4.208186e-25 1.618545e+00 1.191325e+09  1.072068e+078.893574e+05 3.094023e-01 5.000000e-01 5.000000e-01 1.716363e-43 8.882401e-43 4.441200e-42 3.947635e-42 1.197118e-58
1.058049e+06 1.010489e+08 1.56519435e+08 3.969078e+25 -8.189961e-25 1.881217e+00 1.195066e+09  1.073891e+078.980477e+05 3.093948e-01 5.000000e-01 5.000000e-01 3.372323e-43 1.744860e-42 8.724298e-42 7.756342e-42 2.819657e-58
1.068030e+06 1.021613e+08 1.56527021e+08 3.969347e+25 -1.579816e-24 2.184310e+00 1.198808e+09  1.075717e+079.067346e+05 3.093873e-01 5.000000e-01 5.000000e-01 6.566988e-43 3.397101e-42 1.698550e-41 1.510407e-41 6.566213e-58
1.078012e+06 1.032753e+08 1.56534608e+08 3.969616e+25 -3.021050e-24 2.533272e+00 1.202549e+09  1.077545e+079.154171e+05 3.093798e-01 5.000000e-01 5.000000e-01 1.267679e-42 6.556364e-42 3.278182e-41 2.915661e-41 1.512187e-57
1.087993e+06 1.043908e+08 1.56542195e+08 3.969886e+25 -5.728252e-24 2.934146e+00 1.206290e+09  1.079375e+079.240956e+05 3.093723e-01 5.000000e-01 5.000000e-01 2.426300e-42 1.254615e-41 6.273074e-41 5.580489e-41 3.444906e-57
1.097975e+06 1.055079e+08 1.56549781e+08 3.970155e+25 -1.077165e-23 3.393625e+00 1.210031e+09  1.081209e+079.327717e+05 3.093648e-01 5.000000e-01 5.000000e-01 4.605270e-42 2.380860e-41 1.190430e-40 1.059212e-40 7.764906e-57
1.107957e+06 1.066265e+08 1.56557368e+08 3.970425e+25 -2.009181e-23 3.919097e+00 1.213771e+09  1.083044e+079.414430e+05 3.093573e-01 5.000000e-01 5.000000e-01 8.670052e-42 4.481402e-41 2.240701e-40 1.994112e-40 1.732144e-56
1.117938e+06 1.077467e+08 1.56564954e+08 3.970694e+25 -3.718007e-23 4.518704e+00 1.217512e+09  1.084882e+079.501114e+05 3.093498e-01 5.000000e-01 5.000000e-01 1.619282e-41 8.368135e-41 4.184068e-40 3.724348e-40 3.824897e-56
1.127920e+06 1.088684e+08 1.56572541e+08 3.970964e+25 -6.827025e-23 5.201394e+00 1.221252e+09  1.086723e+079.587769e+05 3.093423e-01 5.000000e-01 5.000000e-01 3.000771e-41 1.550436e-40 7.752179e-40 6.901772e-40 8.362567e-56
1.137901e+06 1.099917e+08 1.56580127e+08 3.971233e+25 -1.244101e-22 5.976979e+00 1.224992e+09  1.088566e+079.674388e+05 3.093348e-01 5.000000e-01 5.000000e-01 5.518563e-41 2.850771e-40 1.425385e-39 1.269269e-39 1.810658e-55
1.147883e+06 1.111164e+08 1.56587714e+08 3.971502e+25 -2.250371e-22 6.856195e+00 1.228731e+09  1.090412e+079.760981e+05 3.093273e-01 5.000000e-01 5.000000e-01 1.007333e-40 5.202659e-40 2.601329e-39 2.316866e-39 3.883294e-55
1.157865e+06 1.122394e+08 1.56595300e+08 3.971721e+25 -4.041060e-22 7.850766e+00 1.228798e+09  1.092260e+079.876975e+05 3.093198e-01 5.000000e-01 5.000000e-01 1.825336e-40 9.425656e-40 4.712828e-39 4.198273e-39 8.251227e-55
1.167846e+06 1.133550e+08 1.56601455e+08 3.971857e+25 -7.192807e-22 8.970120e+00 1.222907e+09  1.094106e+071.004179e+06 3.093138e-01 5.000000e-01 5.000000e-01 3.281483e-40 1.694167e-39 8.470833e-39 7.547411e-39 1.735310e-54
2.167046e+06 1.717809e+08 1.56605278e+08 3.985496e+25 -1.265817e-21 1.022062e+01 6.408250e+08  1.095940e+071.938600e+06 3.093100e-01 5.000000e-01 5.000000e-01 2.595670e-38 1.339527e-37 6.697638e-37 5.970042e-37 1.886733e-52
3.166246e+06 2.251175e+08 1.56987999e+08 3.999150e+25 -5.077226e-12 1.167012e+03 6.362072e+08  1.191858e+073.218115e+06 3.089327e-01 5.000000e-01 5.000000e-01 1.032910e-28 5.277940e-28 2.643303e-27 2.375693e-27 3.067019e-40
4.165446e+06 2.759006e+08 1.57399220e+08 4.012805e+25 -1.789151e-06 1.253002e+04 6.501689e+08  1.279237e+074.429377e+06 3.085289e-01 5.000000e-01 5.000000e-01 3.702083e-23 1.604775e-22 9.421146e-22 8.514790e-22 7.456478e-32
5.164646e+06 3.246047e+08 1.57811363e+08 4.026459e+25 -1.186040e-02 5.681744e+04 6.640712e+08  1.362275e+075.660308e+06 3.081258e-01 5.000000e-01 5.000000e-01 2.630138e-19 1.654912e-19 6.725064e-18 6.049317e-18 4.075996e-23
6.163846e+06 4.040320e+08 1.58223507e+08 4.052081e+25 -9.837736e+00 1.659959e+05 1.146236e+09  1.441763e+074.083546e+06 3.077242e-01 5.000000e-01 5.000000e-01 1.943986e-16 1.040866e-17 6.172293e-15 4.471167e-15 1.139001e-16
7.163046e+06 4.823080e+08 1.58937574e+08 4.077656e+25 9.655486e+00 6.016310e+05 1.231340e+09  1.571048e+075.157502e+06 3.070321e-01 5.000000e-01 5.000000e-01 1.361843e-14 7.220936e-16 5.900516e-11 3.132240e-13 9.078280e-12
8.162246e+06 5.515840e+08 1.59683987e+08 4.102233e+25 1.093011e+04 1.533875e+06 1.178789e+09  1.698025e+076.956550e+06 3.063137e-01 5.000000e-01 5.000000e-01 1.673482e-13 9.327441e-15 3.745400e-08 3.849008e-12 4.353527e-09
9.161446e+06 6.014183e+08 1.60411682e+08 4.117448e+25 1.029712e+06 2.966187e+06 9.046587e+08  1.810000e+071.105951e+07 3.056181e-01 4.999974e-01 4.999986e-01 1.026428e-12 6.965645e-14 3.718998e-06 2.360784e-11 3.433582e-07
1.016065e+07 6.370954e+08 1.60824449e+08 4.132705e+25 1.742164e+07 4.464406e+06 6.622940e+08  1.891159e+071.684377e+07 3.052257e-01 4.999534e-01 4.999732e-01 3.217283e-12 2.723228e-13 6.814219e-05 7.399750e-11 5.329528e-06
1.115985e+07 6.781681e+08 1.61241192e+08 4.148388e+25 1.221411e+08 5.913088e+06 6.861256e+08  1.951932e+071.549899e+07 3.048310e-01 4.996433e-01 4.997905e-01 7.387234e-12 7.714523e-13 5.296174e-04 1.699064e-10 3.660590e-05
1.181906e+07 1.084734e+09 1.61698062e+08 4.158734e+25 1.200776e+10 9.107460e+06 7.002327e+08  2.059026e+071.099597e+06 3.044001e-01 4.817355e-01 4.887168e-01 9.049800e-10 7.516483e-10 2.834773e-02 2.081454e-08 1.199903e-03
1.181906e+07 1.817970e+09 1.61999478e+08 4.158735e+25 6.418703e+15 6.587936e+07 6.976295e+08  3.053829e+075.160842e+00 3.041167e-01 4.341353e-01 4.617892e-01 1.535292e-07 3.992789e-06 9.599329e-02 3.531172e-06 8.074454e-03
